year,state_abbreviation,net_generation_mwh,co2e_kg_per_mwh,source_file,source_field
2016,WV,75942967.562,902.90237443483,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,WY,46656629.978,925.76705862179,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2018,AK,6244300.149,413.66943755445004,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,AL,143221259.248,393.85334768626,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,AR,67999351.643,552.99441633128,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,AZ,111639090.046,441.00291377065,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,CA,195212859.582,191.42913431873,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,CO,55375731.38,622.0429684469,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,CT,39453552.523,231.09760144471002,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,DC,74889.001,199.6123942659,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,DE,6240644.191,408.40821965482,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,FL,243456187.354,429.88037526588005,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,GA,129232893.261,422.68367872346,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,HI,9796772.998,691.62993470571,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,IA,63191960.4,488.68318292794004,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,ID,18172119.496,72.89002589715,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,IL,187990218.418,371.28485931691,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,IN,113451149.922,793.11714516188,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,KS,51683745.199,452.05015594200006,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,KY,78804496.998,832.6418235065701,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,LA,101862424.388,380.75858955673,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,MA,27123442.981,332.86558557791,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,MD,43783522.967,381.54557231868,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,ME,11280700.003,121.66299907377001,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,MI,115834924.306,506.10203712068,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,MN,61425572.326,455.00168149359,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,MO,81304229.764,776.95519542641,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,MS,63473771.44,417.08589528529006,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,MT,28195174.001,528.8574055464701,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,NC,134162507.279,364.72183131538,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,ND,42612541.996,688.0315864345,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,NE,36966215.818,642.97852428425,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,NH,17063035.358,138.71535063155,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,NJ,74975548.734,227.76732626417,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,NM,32534843.004,608.0042845954,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,NV,39607668.204,338.6611352894,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,NY,132500581.801,189.91141424871,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,OH,126184610.568,603.20799887502,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,OK,86223720.801,405.23171228771,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,OR,63917831.946,142.50057895920003,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,PA,215390665.858,357.81361952028004,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,RI,8372772.262,394.07016483912,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,SC,99322722.723,287.83293508431,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,SD,12616395.683,235.86213569919,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,TN,81539017.661,339.44811805135004,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,TX,476834935.717,446.18157785894005,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,UT,39375424.0,729.9888806595,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,VA,94558960.368,336.94837050028,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,VT,2175006.475,26.08473642159,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,WA,116746864.289,90.73752487954,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,WI,65802102.201,633.33016098198,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,WV,67249024.77,889.70283646783,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2018,WY,46112136.165,936.1048823264599,egrid2018_data.xlsx,ST18!STC2ERTA converted from lb/MWh
2019,AK,6068242.558,442.22080928409997,egrid2019_data.xlsx,ST19!STC2ERTA converted from lb/MWh
2019,AL,142679432.855,356.32991887801,egrid2019_data.xlsx,ST19!STC2ERTA converted from lb/MWh
2019,AR,63857738.721,511.62633859491,egrid2019_data.xlsx,ST19!STC2ERTA converted from lb/MWh
