year,state_abbreviation,state,net_generation_mwh,co2e_kg_per_mwh,reported_co2e_kg_per_mwh,co2_kg_per_mwh,gwp_basis,source_field,lowest_ghg_technology,cold_plate_vs_air_reduction_pct,one_phase_vs_air_reduction_pct,two_phase_vs_air_reduction_pct,cold_plate_minus_one_phase_kgco2e
2023,LA,LA,97434806.41,346.12176904811423,346.12182259116,345.366998819146,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.218409776202646,16.256014532245956,20.61236916237593,0.26343707600472044
2023,MA,MA,19663313.081,376.52751450250565,376.52747992937003,373.0300521233588,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.20916410440687,16.291384153786602,20.622813833311014,0.29555186766167196
2023,MD,MD,35987133.297,236.8693146507776,236.86911076059002,235.87811164417764,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.267484891151351,16.06827606595206,20.556929878129125,0.14804375942761183
2023,ME,ME,12512180.99,143.71377092109228,143.71393854895,141.44076709567338,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.351786149040347,15.745778831268675,20.461696246922024,0.04965212870582292
2023,MI,MI,120648501.215,361.70897606538057,361.70907079384,359.7763209944085,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.213501838469112,16.274790009465445,20.617913572314873,0.2799004087858279
2023,MN,MN,57260118.977,341.25081216715995,341.25069412973,339.0806347455495,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.220022522499455,16.24984491824508,20.610547271577328,0.2582923323694537
2023,MO,MO,66705178.956,659.7920708036113,659.7922862554101,655.0493897548647,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.160787032129463,16.47645223488312,20.677464551171155,0.5947381587215546
2023,MS,MS,72933440.201,375.6985762929853,375.69876666938,374.8190292570256,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.20939888670142,16.29048598639693,20.622548603929946,0.2946763364915803
2023,MT,MT,26895758.013,482.5866649006598,482.5864478827701,479.0692345411206,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.18508881277233,16.38348497375961,20.650011261939493,0.4075723910018958
2023,NC,NC,126510680.084,284.1474502846105,284.14749707806,283.02275002556416,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.242376147555836,16.164330390391523,20.585294779051456,0.19797930460565283
